make_model,body_type,Body Color,km,Gearing Type,hp,Extras,price
Audi A1,Sedans,Black,56013,Automatic,85,Converter,15770
Audi A1,Sedans,Red,80000,Automatic,85,Sport,14500
Audi A1,Sedans,Black,83450,Automatic,85,Others,14640
Audi A1,Sedans,Brown,73000,Automatic,85,Sport,14500
Audi A1,Sedans,Black,16200,Automatic,85,Sport,16790
Audi A1,Sedans,White,63668,Automatic,85,Sport,15090
Audi A1,Station wagon,White,62111,Automatic,85,Sport,16422
Audi A1,Compact,Red,14986,Automatic,85,Others,14480
Audi A1,Sedans,Grey,57000,Automatic,85,Others,16700
Audi A1,Sedans,White,16103,Automatic,85,Others,17990
Audi A1,Sedans,Black,11300,Automatic,85,Others,18500
Audi A1,Sedans,White,31600,Automatic,85,Converter,18380
Audi A1,Sedans,Grey,45764,Automatic,85,Sport,18399
Audi A1,Sedans,Black,34914,Automatic,85,Sport,17990
Audi A1,Sedans,Grey,27000,Automatic,85,Others,18700
Audi A1,Sedans,Blue,9752,Automatic,85,Sport,18900
Audi A1,Sedans,White,28408,Automatic,85,Sport,18500
Audi A1,Compact,Black,50280,Automatic,85,Others,18400
Audi A1,Sedans,Black,13406,Automatic,85,Converter,18500
Audi A1,Sedans,White,51160,Automatic,85,Sport,18500
Audi A1,Sedans,Black,15850,Automatic,85,Sport,18500
Audi A1,Sedans,Grey,17000,Automatic,85,Converter,18900
Audi A1,Sedans,Black,9077,Automatic,85,Others,18850
Audi A1,Sedans,White,3000,Automatic,85,Others,18500
Audi A1,Sedans,White,115000,Manual,85,Others,8999
Audi A1,Compact,Blue,84029,Manual,85,Others,11444
Audi A1,Sedans,Black,67800,Manual,85,Others,11300
Audi A1,Compact,Black,22000,Manual,85,Others,11290
Audi A1,Compact,Black,38400,Manual,85,Others,11290
Audi A1,Sedans,Black,83307,Manual,85,Converter,11440
Audi A1,Compact,Brown,39668,Manual,85,Converter,11445
Audi A1,Sedans,Black,30353,Manual,85,Converter,11700
Audi A1,Sedans,White,126000,Manual,85,Others,11900
Audi A1,Compact,White,57500,Manual,85,Converter,11949
Audi A1,Sedans,White,73945,Manual,85,Others,11890
Audi A1,Sedans,Red,96000,Manual,85,Others,11600
Audi A1,Sedans,Red,43120,Manual,85,Sport,11900
Audi A1,Compact,Silver,110715,Manual,85,Sport,11630
Audi A1,Compact,Black,31971,Manual,85,Converter,11880
Audi A1,Compact,Grey,94800,Manual,85,Others,11800
Audi A1,Compact,Grey,85000,Manual,85,Others,11850
Audi A1,Compact,Black,111265,Manual,85,Others,11569
Audi A1,Sedans,Black,97976,Manual,85,Others,11490
Audi A1,Sedans,Grey,106000,Manual,85,Others,11500
Audi A1,Sedans,Black,60000,Manual,85,Others,11790
Audi A1,Compact,Black,58000,Manual,85,Sport,11490
Audi A1,Compact,Black,57454,Manual,85,Converter,11470
Audi A1,Compact,White,94055,Manual,85,Sport,11480
Audi A1,Sedans,Black,56000,Manual,85,Others,11180
Audi A1,Sedans,White,27600,Manual,85,Sport,11450
Audi A1,Compact,Black,111670,Manual,85,Others,11100
Audi A1,Compact,Black,30500,Manual,85,Converter,10900
Audi A1,Compact,Black,69500,Manual,85,Others,10999
Audi A1,Compact,White,43500,Manual,85,Others,10900
Audi A1,Sedans,Black,45696,Manual,85,Others,10950
Audi A1,Sedans,Blue,34000,Manual,85,Sport,10800
Audi A1,Sedans,Red,55000,Manual,85,Others,10600
Audi A1,Sedans,Black,99000,Manual,85,Others,10800
Audi A1,Sedans,Red,85000,Manual,85,Converter,10300
Audi A1,Sedans,Black,142000,Manual,85,Others,10000
Audi A1,Compact,White,130000,Manual,85,Others,10490
Audi A1,Compact,Grey,41294,Automatic,85,Others,18900
Audi A1,Sedans,White,64000,Automatic,85,Sport,18900
Audi A1,Sedans,Grey,13135,Automatic,85,Others,18900
Audi A1,Sedans,Silver,4250,Automatic,85,Sport,18900
Audi A1,Sedans,Silver,2949,Automatic,85,Sport,18890
Audi A1,Compact,Black,22800,Automatic,85,Sport,18890
Audi A1,Sedans,Black,5108,Automatic,85,Sport,18880
Audi A1,Sedans,White,11335,Automatic,85,Converter,18880
Audi A1,Compact,Red,6396,Automatic,85,Sport,18880
Audi A1,Compact,Grey,47800,Automatic,85,Sport,18880
Audi A1,Compact,Black,30952,Automatic,85,Sport,18880
Audi A1,Sedans,White,33991,Automatic,85,Converter,18880
Audi A1,Sedans,White,35800,Automatic,85,Sport,18870
Audi A1,Sedans,Silver,7672,Automatic,85,Others,18850
Audi A1,Sedans,Black,13406,Automatic,85,Converter,18500
Audi A1,Compact,Blue,8430,Automatic,85,Converter,18870
Audi A1,Compact,Red,40488,Automatic,85,Sport,18497
Audi A1,Compact,Grey,24200,Automatic,85,Others,18490
Audi A1,Compact,Brown,26500,Automatic,85,Converter,18490
Audi A1,Compact,Black,58806,Automatic,85,Others,18490
Audi A1,Sedans,White,39000,Automatic,85,Sport,18500
Audi A1,Sedans,Red,16700,Automatic,85,Converter,18490
Audi A1,Sedans,White,41900,Automatic,85,Converter,18490
Audi A1,Compact,Black,15093,Automatic,85,Others,18480
Audi A1,Sedans,Red,5211,Automatic,85,Sport,18480
Audi A1,Compact,White,12000,Automatic,85,Converter,18470
Audi A1,Compact,Grey,50066,Automatic,85,Sport,18444
Audi A1,Compact,Red,51484,Automatic,85,Others,18400
Audi A1,Sedans,Black,14770,Automatic,85,Others,18400
Audi A1,Sedans,Black,12415,Automatic,85,Others,18900
Audi A1,Sedans,Silver,26064,Automatic,85,Others,18900
Audi A1,Sedans,Black,16500,Automatic,85,Converter,18900
Audi A1,Sedans,Black,9000,Automatic,85,Sport,18900
Audi A1,Sedans,Black,12402,Automatic,85,Others,18900
Audi A1,Sedans,White,14702,Automatic,85,Others,18900
Audi A1,Sedans,White,14523,Automatic,85,Others,18900
Audi A1,Sedans,Black,9082,Automatic,85,Others,18900
Audi A1,Sedans,Blue,9580,Automatic,85,Sport,18900
